自增ID,事件ID,追踪ID,发生时间,操作人ID,操作动作,资源类型,资源ID,摘要,outcome,错误码
1438,d7c88c98-0e82-4c8e-a217-ac82b4a12926,p5-act8-20260613-225241-download-v2-sync-evidence-1781362374946,2026-06-13T14:52:55.018800Z,organization-admin,EXPORT,knowledge_package,d4278683-a2cf-4411-8c1e-a3e3e9fcc6c1,导出配置包同步证据，发布计划数: 2，同步日志数: 2，失败适配器数: 0，未连通适配器数: 0,SUCCESS,
1437,ad7e7cf2-edc4-4041-9040-2eb863a0716f,p5-act8-20260613-225241-download-v2-offline-export-1781362374793,2026-06-13T14:52:54.959248Z,organization-admin,EXPORT,knowledge_package,d4278683-a2cf-4411-8c1e-a3e3e9fcc6c1,导出配置包离线安装包，版本: 2026.06.1-act8-260613225241-v2，目标组织: 01KTXW1ER1K0N7CS4YSJZV2XH6，有效快照: e7ee77eb6ad920a43e0aade063d11b0ba3e3047ee788450716d76e91fb0727e7，资产条目数: 4，payloadSha256: 14e71576da9e6a255df8d3e906e21459c3bf2dbbad41cd5a574b7898fae99a1f,SUCCESS,
1436,8507528e-2a37-4a73-b97f-490bfc53ac4d,p5-act8-20260613-225241-download-v2-diff-export-1781362374731,2026-06-13T14:52:54.807777Z,organization-admin,EXPORT,knowledge_package,d4278683-a2cf-4411-8c1e-a3e3e9fcc6c1,导出配置包差异影响证据，基准版本: 2026.06.1-act8-260613225241-v1，目标版本: 2026.06.1-act8-260613225241-v2，变更资产数: 3,SUCCESS,
1435,413a186e-96c5-478f-acea-375ca3edcf64,p5-act8-20260613-225241-release-v2-full-1781362372727,2026-06-13T14:52:52.854656Z,organization-admin,PUBLISH,knowledge_package,d4278683-a2cf-4411-8c1e-a3e3e9fcc6c1,知识包发布并同步全量成功: P5幕8配置包治理演练候选版 (2026.06.1-act8-260613225241-v2),SUCCESS,
1434,eea69b7f-ecb5-4e3a-abab-c578ee8abaaf,p5-act8-20260613-225241-release-v2-gray-1781362372590,2026-06-13T14:52:52.709219Z,organization-admin,PUBLISH,knowledge_package,d4278683-a2cf-4411-8c1e-a3e3e9fcc6c1,"知识包发布计划执行完成, 策略为: GRAYSCALE, 作用域为: FACILITY, 状态为: SUCCESS",SUCCESS,
1433,5512bb6d-41f5-41eb-a314-089c3a660e61,p5-act8-20260613-225241-add-v2-candidate-evaluation-1781362372438,2026-06-13T14:52:52.519822Z,organization-admin,UPDATE,knowledge_package,d4278683-a2cf-4411-8c1e-a3e3e9fcc6c1,向知识包添加资产条目 (EVALUATION): ei-8f501a47-e9a5-452b-8460-029763a7262c,SUCCESS,
1432,8e44eabc-2437-4521-aee0-8cb2e436527d,p5-act8-20260613-225241-add-v2-candidate-pathway-1781362372368,2026-06-13T14:52:52.458905Z,organization-admin,UPDATE,knowledge_package,d4278683-a2cf-4411-8c1e-a3e3e9fcc6c1,向知识包添加资产条目 (PATHWAY): pt-69a3aabb-5157-4a7c-b293-ce027a5741c6,SUCCESS,
1431,4713b662-368d-40d9-a21f-fcd8f6bace2a,p5-act8-20260613-225241-add-v2-candidate-rule-1781362372311,2026-06-13T14:52:52.384855Z,organization-admin,UPDATE,knowledge_package,d4278683-a2cf-4411-8c1e-a3e3e9fcc6c1,向知识包添加资产条目 (RULE): rule-95d0454a-fe4a-4e80-938a-45a3744bde98,SUCCESS,
1430,d024652d-1804-42b7-931e-0b43e42f47db,p5-act8-20260613-225241-add-v2-candidate-terminology-1781362372258,2026-06-13T14:52:52.333470Z,organization-admin,UPDATE,knowledge_package,d4278683-a2cf-4411-8c1e-a3e3e9fcc6c1,向知识包添加资产条目 (TERMINOLOGY): TERM.P5.MAPPING|TENANT|p5-hospital,SUCCESS,
1429,8bd8705c-103c-4344-a2ed-20d8924206ed,p5-act8-20260613-225241-create-v2-candidate-1781362372169,2026-06-13T14:52:52.241531Z,organization-admin,CREATE,knowledge_package,d4278683-a2cf-4411-8c1e-a3e3e9fcc6c1,创建知识包草稿: P5幕8配置包治理演练候选版 (2026.06.1-act8-260613225241-v2),SUCCESS,
1428,73968256-bcb8-4a1c-ad0a-1ed97d8adf09,p5-act8-20260613-225241-release-v1-full-1781362371874,2026-06-13T14:52:52.088785Z,organization-admin,PUBLISH,knowledge_package,5c51acc6-a591-416e-ba30-153f9d3bd9f7,知识包发布并同步全量成功: P5幕8配置包治理演练基线版 (2026.06.1-act8-260613225241-v1),SUCCESS,
1427,0a5aa121-9914-4155-8075-386aae19a929,p5-act8-20260613-225241-add-v1-baseline-terminology-1781362371676,2026-06-13T14:52:51.790644Z,organization-admin,UPDATE,knowledge_package,5c51acc6-a591-416e-ba30-153f9d3bd9f7,向知识包添加资产条目 (TERMINOLOGY): TERM.P5.MAPPING|TENANT|p5-hospital,SUCCESS,
1426,dead5bbc-8882-4bed-af27-16d35058fd88,p5-act8-20260613-225241-create-v1-baseline-1781362371586,2026-06-13T14:52:51.654994Z,organization-admin,CREATE,knowledge_package,5c51acc6-a591-416e-ba30-153f9d3bd9f7,创建知识包草稿: P5幕8配置包治理演练基线版 (2026.06.1-act8-260613225241-v1),SUCCESS,
1422,3cf2c61d-3707-4947-973e-9ea9df97e02f,p5-act8-20260613-225142-add-v2-candidate-evaluation-1781362313890,2026-06-13T14:51:53.964016Z,organization-admin,UPDATE,knowledge_package,a74fbc95-50c6-46e3-afda-7595f8505dad,向知识包添加资产条目 (EVALUATION): ei-8f501a47-e9a5-452b-8460-029763a7262c,SUCCESS,
1421,fafc7562-dab2-4370-ad61-a0acc8d7448e,p5-act8-20260613-225142-add-v2-candidate-pathway-1781362313839,2026-06-13T14:51:53.909819Z,organization-admin,UPDATE,knowledge_package,a74fbc95-50c6-46e3-afda-7595f8505dad,向知识包添加资产条目 (PATHWAY): pt-69a3aabb-5157-4a7c-b293-ce027a5741c6,SUCCESS,
1420,499178e7-06c0-4901-aec7-1ad54b3a8b4f,p5-act8-20260613-225142-add-v2-candidate-rule-1781362313789,2026-06-13T14:51:53.859415Z,organization-admin,UPDATE,knowledge_package,a74fbc95-50c6-46e3-afda-7595f8505dad,向知识包添加资产条目 (RULE): rule-95d0454a-fe4a-4e80-938a-45a3744bde98,SUCCESS,
1419,e7ffa07c-f0b3-4155-8b25-d70a029d468d,p5-act8-20260613-225142-add-v2-candidate-terminology-1781362313729,2026-06-13T14:51:53.799833Z,organization-admin,UPDATE,knowledge_package,a74fbc95-50c6-46e3-afda-7595f8505dad,向知识包添加资产条目 (TERMINOLOGY): TERM.P5.MAPPING|TENANT|p5-hospital,SUCCESS,
1418,3736cd87-915e-45f0-98a8-e0c7e70386a6,p5-act8-20260613-225142-create-v2-candidate-1781362313645,2026-06-13T14:51:53.713835Z,organization-admin,CREATE,knowledge_package,a74fbc95-50c6-46e3-afda-7595f8505dad,创建知识包草稿: P5幕8配置包治理演练候选版 (2026.06.1-act8-260613225142-v2),SUCCESS,
1417,7aad2d34-f783-490b-b28d-373184670bc8,p5-act8-20260613-225142-release-v1-full-1781362313149,2026-06-13T14:51:53.576657Z,organization-admin,PUBLISH,knowledge_package,995afa77-3ac8-406e-9711-981bcb428045,知识包发布并同步全量成功: P5幕8配置包治理演练基线版 (2026.06.1-act8-260613225142-v1),SUCCESS,
1416,f5d1be6d-32c8-463a-9603-1cfae3a6e5c3,p5-act8-20260613-225142-add-v1-baseline-terminology-1781362312970,2026-06-13T14:51:53.077611Z,organization-admin,UPDATE,knowledge_package,995afa77-3ac8-406e-9711-981bcb428045,向知识包添加资产条目 (TERMINOLOGY): TERM.P5.MAPPING|TENANT|p5-hospital,SUCCESS,
1415,8e802f8d-55f9-410c-b86e-a489a1e550d9,p5-act8-20260613-225142-create-v1-baseline-1781362312845,2026-06-13T14:51:52.948497Z,organization-admin,CREATE,knowledge_package,995afa77-3ac8-406e-9711-981bcb428045,创建知识包草稿: P5幕8配置包治理演练基线版 (2026.06.1-act8-260613225142-v1),SUCCESS,
1414,d222b18c-38fa-4d86-beac-0526d0786b6b,p5-act8-20260613-225142-act8-activate-evaluation-1781362312720,2026-06-13T14:51:52.830339Z,organization-admin,UPDATE,evaluation_indicator,ei-8f501a47-e9a5-452b-8460-029763a7262c,激活评估指标 P5.ACT7.FOLLOWUP.QUALITY,SUCCESS,
1413,9caac21d-3def-4018-add0-d71c3007e3b5,p5-act8-20260613-225142-act8-gray-evaluation-1781362312642,2026-06-13T14:51:52.742224Z,quality-governor,PUBLISH,evaluation_indicator,ei-8f501a47-e9a5-452b-8460-029763a7262c,灰度发布评估指标 P5.ACT7.FOLLOWUP.QUALITY,SUCCESS,
1412,31fc099d-9367-4d47-ae74-f494c6f19238,p5-act8-20260613-225142-act8-publish-evaluation-1781362312585,2026-06-13T14:51:52.663559Z,quality-governor,PUBLISH,evaluation_indicator,ei-8f501a47-e9a5-452b-8460-029763a7262c,发布评估指标 P5.ACT7.FOLLOWUP.QUALITY,SUCCESS,
1411,3c8f08c3-032c-40a3-b536-6d119e3ac895,p5-act8-20260613-225142-act8-submit-evaluation-1781362312504,2026-06-13T14:51:52.605646Z,quality-governor,REVIEW,evaluation_indicator,ei-8f501a47-e9a5-452b-8460-029763a7262c,提交评估指标审核 P5.ACT7.FOLLOWUP.QUALITY,SUCCESS,
1410,561698a7-a411-4d70-a801-147fc64d8867,p5-act8-20260613-225142-act8-create-resolvable-evaluation-1781362312320,2026-06-13T14:51:52.517438Z,quality-governor,CREATE,evaluation_indicator,ei-8f501a47-e9a5-452b-8460-029763a7262c,创建评估指标 P5.ACT7.FOLLOWUP.QUALITY,SUCCESS,
1403,7a0f785b-ebc5-41ea-8bea-d444047405e3,p5-act8-20260613-224122-add-v2-candidate-evaluation-1781361695847,2026-06-13T14:41:35.930182Z,organization-admin,UPDATE,knowledge_package,e3a96590-612d-49c5-8337-62fcd771b8fa,向知识包添加资产条目 (EVALUATION): ei-d718e273-fbd6-42fe-b244-7448de878bf8,SUCCESS,
1402,7c5b3238-6f07-4196-8c0d-dfaea0f592f8,p5-act8-20260613-224122-add-v2-candidate-pathway-1781361695797,2026-06-13T14:41:35.873712Z,organization-admin,UPDATE,knowledge_package,e3a96590-612d-49c5-8337-62fcd771b8fa,向知识包添加资产条目 (PATHWAY): pt-69a3aabb-5157-4a7c-b293-ce027a5741c6,SUCCESS,
1401,46e45c8f-bf4e-4992-9832-b6200577c6b3,p5-act8-20260613-224122-add-v2-candidate-rule-1781361695744,2026-06-13T14:41:35.823243Z,organization-admin,UPDATE,knowledge_package,e3a96590-612d-49c5-8337-62fcd771b8fa,向知识包添加资产条目 (RULE): rule-95d0454a-fe4a-4e80-938a-45a3744bde98,SUCCESS,
1400,1863c5d2-0255-49c9-bc71-37c369cb10a0,p5-act8-20260613-224122-add-v2-candidate-terminology-1781361695692,2026-06-13T14:41:35.768488Z,organization-admin,UPDATE,knowledge_package,e3a96590-612d-49c5-8337-62fcd771b8fa,向知识包添加资产条目 (TERMINOLOGY): TERM.P5.MAPPING|TENANT|p5-hospital,SUCCESS,
1399,8def07a9-e79a-4774-90bf-713caf39dc32,p5-act8-20260613-224122-create-v2-candidate-1781361695422,2026-06-13T14:41:35.506012Z,organization-admin,CREATE,knowledge_package,e3a96590-612d-49c5-8337-62fcd771b8fa,创建知识包草稿: P5幕8配置包治理演练候选版 (2026.06.1-act8-260613224122-v2),SUCCESS,
1398,fe77adf0-993d-4382-9a58-013d4a656b16,p5-act8-20260613-224122-release-v1-full-1781361694634,2026-06-13T14:41:35.359336Z,organization-admin,PUBLISH,knowledge_package,4481f6d1-39fa-4b41-be5e-93f9c1c836e6,知识包发布并同步全量成功: P5幕8配置包治理演练基线版 (2026.06.1-act8-260613224122-v1),SUCCESS,
1397,5f0689d7-3097-4b2d-bfce-f953f7d3efce,p5-act8-20260613-224122-add-v1-baseline-terminology-1781361694238,2026-06-13T14:41:34.366684Z,organization-admin,UPDATE,knowledge_package,4481f6d1-39fa-4b41-be5e-93f9c1c836e6,向知识包添加资产条目 (TERMINOLOGY): TERM.P5.MAPPING|TENANT|p5-hospital,SUCCESS,
1396,2e67a894-053f-413a-a12a-b5cee4b87fe8,p5-act8-20260613-224122-create-v1-baseline-1781361694025,2026-06-13T14:41:34.215663Z,organization-admin,CREATE,knowledge_package,4481f6d1-39fa-4b41-be5e-93f9c1c836e6,创建知识包草稿: P5幕8配置包治理演练基线版 (2026.06.1-act8-260613224122-v1),SUCCESS,
1392,9b671d46-c50b-4033-9333-6df54629e45f,p5-act8-1781361049473-add-v2-candidate-evaluation-1781361062828,2026-06-13T14:31:02.916224Z,organization-admin,UPDATE,knowledge_package,319b8363-2d85-4e1a-8174-b85a1abf1299,向知识包添加资产条目 (EVALUATION): ei-d718e273-fbd6-42fe-b244-7448de878bf8,SUCCESS,
1391,eeaf7322-e8e9-418f-9d9c-a5c13d85394f,p5-act8-1781361049473-add-v2-candidate-pathway-1781361062778,2026-06-13T14:31:02.859552Z,organization-admin,UPDATE,knowledge_package,319b8363-2d85-4e1a-8174-b85a1abf1299,向知识包添加资产条目 (PATHWAY): pt-69a3aabb-5157-4a7c-b293-ce027a5741c6,SUCCESS,
1390,ce31fbe9-3f5c-4e4b-a6c4-8cb719feab34,p5-act8-1781361049473-add-v2-candidate-rule-1781361062731,2026-06-13T14:31:02.811224Z,organization-admin,UPDATE,knowledge_package,319b8363-2d85-4e1a-8174-b85a1abf1299,向知识包添加资产条目 (RULE): rule-95d0454a-fe4a-4e80-938a-45a3744bde98,SUCCESS,
1389,54742711-91bb-4d32-8bc0-4f0bdbca9d57,p5-act8-1781361049473-add-v2-candidate-terminology-1781361062528,2026-06-13T14:31:02.759597Z,organization-admin,UPDATE,knowledge_package,319b8363-2d85-4e1a-8174-b85a1abf1299,向知识包添加资产条目 (TERMINOLOGY): TERM.P5.MAPPING|TENANT|p5-hospital,SUCCESS,
1388,653c1afa-2a46-4789-93f6-45d54b86fa3f,p5-act8-1781361049473-create-v2-candidate-1781361062442,2026-06-13T14:31:02.517736Z,organization-admin,CREATE,knowledge_package,319b8363-2d85-4e1a-8174-b85a1abf1299,创建知识包草稿: P5幕8配置包治理演练候选版 (2026.06.1-act8-781361049473-v2),SUCCESS,
1387,201cfc72-cf22-4724-ba61-3b45fee0be96,p5-act8-1781361049473-release-v1-full-1781361062155,2026-06-13T14:31:02.317720Z,organization-admin,PUBLISH,knowledge_package,92238906-9a9a-4ee0-a509-36e715f496af,知识包发布并同步全量成功: P5幕8配置包治理演练基线版 (2026.06.1-act8-781361049473-v1),SUCCESS,
1386,03ff4476-a7d9-48c5-a764-b4b607a8317f,p5-act8-1781361049473-add-v1-baseline-terminology-1781361061842,2026-06-13T14:31:01.978953Z,organization-admin,UPDATE,knowledge_package,92238906-9a9a-4ee0-a509-36e715f496af,向知识包添加资产条目 (TERMINOLOGY): TERM.P5.MAPPING|TENANT|p5-hospital,SUCCESS,
1385,19cc4ecd-46ab-439c-86ac-76441a7015b2,p5-act8-1781361049473-create-v1-baseline-1781361061646,2026-06-13T14:31:01.748153Z,organization-admin,CREATE,knowledge_package,92238906-9a9a-4ee0-a509-36e715f496af,创建知识包草稿: P5幕8配置包治理演练基线版 (2026.06.1-act8-781361049473-v1),SUCCESS,
1377,722b4866-c5ce-40bc-a856-3f30e0cf303a,p5-act7-20260613-220214-quality-review-rectification-1781359366768,2026-06-13T14:02:46.825941Z,quality-governor,REVIEW,quality_finding,qf-a88aef9d-854b-4729-9706-419df3fae88d,复核质控整改 APPROVED,SUCCESS,
1376,c27b8bd8-832b-45b3-bcc2-c43bd6ad8747,p5-act7-20260613-220214-quality-submit-rectification-1781359366726,2026-06-13T14:02:46.786610Z,clinical-governor,UPDATE,quality_finding,qf-a88aef9d-854b-4729-9706-419df3fae88d,提交质控整改 rct-9052f523-4674-44a7-b380-8939fd0a4887,SUCCESS,
1375,0548598d-7e66-456d-abaa-5b0964637986,p5-act7-20260613-220214-quality-run-evaluation-1781359366552,2026-06-13T14:02:46.612396Z,quality-governor,EXECUTE,evaluation_run,er-82eadf74-48da-40c7-815f-2009ec17e96a,接收评估运行 P5.ACT7.RUN.p5-act7-20260613-220214,SUCCESS,
1368,9cd8faf7-91e5-4936-b5bd-9bc1b207cee9,p5-act7-20260613-220214-nurse-denied-evaluation-create-1781359351463,2026-06-13T14:02:31.519836Z,nursing-collaborator,EXECUTE,authorization,p5-act7-20260613-220214-nurse-denied-evaluation-create-1781359351463,权限拒绝：当前用户无权执行该操作,FAILED,PERMISSION_DENIED
1359,38451ceb-3d9d-427e-89d3-f20982b238f2,p5-act7-20260613-220050-quality-review-rectification-1781359278649,2026-06-13T14:01:18.721450Z,quality-governor,REVIEW,quality_finding,qf-03a5ee49-c8a4-4518-a9c1-c09d26298628,复核质控整改 APPROVED,SUCCESS,
1358,af3ff306-e190-4e2a-92cf-1e99328505ca,p5-act7-20260613-220050-quality-submit-rectification-1781359278603,2026-06-13T14:01:18.665218Z,clinical-governor,UPDATE,quality_finding,qf-03a5ee49-c8a4-4518-a9c1-c09d26298628,提交质控整改 rct-6cc02336-dc54-4575-a6b4-6d2ab020ac82,SUCCESS,
1357,96e433f5-2f8e-4a67-b456-c2d2bf325630,p5-act7-20260613-220050-quality-run-evaluation-1781359278490,2026-06-13T14:01:18.555320Z,quality-governor,EXECUTE,evaluation_run,er-9c7b7907-4090-4424-88fb-76fda3710b6e,接收评估运行 P5.ACT7.RUN.p5-act7-20260613-220050,SUCCESS,
1350,5dd54e89-6182-46bf-a8fd-f128642667bf,p5-act7-20260613-220050-nurse-denied-evaluation-create-1781359264932,2026-06-13T14:01:04.993650Z,nursing-collaborator,EXECUTE,authorization,p5-act7-20260613-220050-nurse-denied-evaluation-create-1781359264932,权限拒绝：当前用户无权执行该操作,FAILED,PERMISSION_DENIED
1341,6acbf0b0-999a-4da2-897d-a326127cac2d,p5-act7-20260613-215858-quality-submit-rectification-1781359169886,2026-06-13T13:59:29.958801Z,nursing-collaborator,EXECUTE,authorization,p5-act7-20260613-215858-quality-submit-rectification-1781359169886,权限拒绝：当前用户无权执行该操作,FAILED,PERMISSION_DENIED
1340,fd1b4718-75e0-4095-a91a-8b14374117d5,p5-act7-20260613-215858-quality-run-evaluation-1781359169690,2026-06-13T13:59:29.819303Z,quality-governor,EXECUTE,evaluation_run,er-64e46ffe-e304-439b-953e-0ac7e2c34899,接收评估运行 P5.ACT7.RUN.p5-act7-20260613-215858,SUCCESS,
1339,8cb37af4-a7d4-497b-9fd7-76309deb2811,p5-act7-20260613-215858-quality-activate-indicator-1781359169627,2026-06-13T13:59:29.708494Z,organization-admin,UPDATE,evaluation_indicator,ei-d718e273-fbd6-42fe-b244-7448de878bf8,激活评估指标 P5.ACT7.FOLLOWUP.QUALITY,SUCCESS,
1338,c9c1edfc-4aba-40ca-a368-8c7c7433ecfa,p5-act7-20260613-215858-quality-gray-indicator-1781359169580,2026-06-13T13:59:29.652702Z,quality-governor,PUBLISH,evaluation_indicator,ei-d718e273-fbd6-42fe-b244-7448de878bf8,灰度发布评估指标 P5.ACT7.FOLLOWUP.QUALITY,SUCCESS,
1337,a3a029b9-f9b2-486d-90e6-fdbbb0a22d23,p5-act7-20260613-215858-quality-publish-indicator-1781359169527,2026-06-13T13:59:29.604685Z,quality-governor,PUBLISH,evaluation_indicator,ei-d718e273-fbd6-42fe-b244-7448de878bf8,发布评估指标 P5.ACT7.FOLLOWUP.QUALITY,SUCCESS,
1336,9e512192-2bfc-4dae-9b90-a28055f02232,p5-act7-20260613-215858-quality-submit-indicator-1781359169460,2026-06-13T13:59:29.551403Z,quality-governor,REVIEW,evaluation_indicator,ei-d718e273-fbd6-42fe-b244-7448de878bf8,提交评估指标审核 P5.ACT7.FOLLOWUP.QUALITY,SUCCESS,
1335,a75791b8-d3c1-419d-9d81-69f88941a36c,p5-act7-20260613-215858-quality-create-indicator-1781359169365,2026-06-13T13:59:29.474029Z,quality-governor,CREATE,evaluation_indicator,ei-d718e273-fbd6-42fe-b244-7448de878bf8,创建评估指标 P5.ACT7.FOLLOWUP.QUALITY,SUCCESS,
1331,37bd2abe-dc2e-45bd-ae8f-01609fb2efda,p5-act7-20260613-215858-followup-result-backflow-1781359161992,2026-06-13T13:59:22.075888Z,nursing-collaborator,CREATE,context_snapshot,ctx-ce9c7ee3-2fec-44bd-a558-41f0eedf3d42,创建标准上下文 quality=PARTIAL patient=P5-ACT7-FOLLOWUP-001,SUCCESS,
1328,9de18a69-c998-46cf-ad4d-b98455759c3a,p5-act7-20260613-215858-seed-context-snapshot-1781359155218,2026-06-13T13:59:15.371129Z,integration-operator,CREATE,context_snapshot,ctx-f24406a9-e090-4a60-91a8-1433d554f8ed,创建标准上下文 quality=VALID patient=P5-ACT7-FOLLOWUP-001,SUCCESS,
1326,c9b6bea0-da1f-4a85-b4ff-754e165363d7,p5-act7-20260613-215858-nurse-denied-evaluation-create-1781359154909,2026-06-13T13:59:14.996690Z,nursing-collaborator,EXECUTE,authorization,p5-act7-20260613-215858-nurse-denied-evaluation-create-1781359154909,权限拒绝：当前用户无权执行该操作,FAILED,PERMISSION_DENIED
1319,af40b872-4386-4a6f-9f6e-11c98aec49fb,p5-act6-override-physician-1781352078412,2026-06-13T12:01:18.648550Z,clinical-decision-user,FEEDBACK,rule_override_log,rov-2495f42a-8382-4371-8baf-25c911f49a50,记录规则越权 rex-da10c6b7-e5ec-4eca-9774-4e07fccfceae/STRONG_REMINDER,SUCCESS,
1317,3042800d-0538-4ab3-a12b-bb20e946572c,p5-act6-evaluate-rule-1781352071257,2026-06-13T12:01:11.520048Z,clinical-decision-user,EXECUTE,rule_execution,rex-da10c6b7-e5ec-4eca-9774-4e07fccfceae,执行规则 rule-95d0454a-fe4a-4e80-938a-45a3744bde98,SUCCESS,
1312,cb7546d2-4c93-4fe9-95ac-f6902ca2bf0f,p5-act6-override-physician-1781351938395,2026-06-13T11:58:58.626348Z,clinical-decision-user,FEEDBACK,rule_override_log,rov-8da16b9d-964f-4002-a6a7-ad931ae2f1a6,记录规则越权 rex-3e0ea306-bd14-4a6d-8228-15b151716cd6/STRONG_REMINDER,SUCCESS,
1310,83200054-2cc8-4ebf-878f-77f994a756df,p5-act6-evaluate-rule-1781351933440,2026-06-13T11:58:53.702750Z,clinical-decision-user,EXECUTE,rule_execution,rex-3e0ea306-bd14-4a6d-8228-15b151716cd6,执行规则 rule-95d0454a-fe4a-4e80-938a-45a3744bde98,SUCCESS,
1305,8d971854-bdf7-47de-a115-ce4fe8e344d4,p5-act6-override-physician-1781351865313,2026-06-13T11:57:45.547472Z,clinical-decision-user,FEEDBACK,rule_override_log,rov-b1b3e667-fa33-4b34-bd45-d896240a1503,记录规则越权 rex-3f51bf14-e85c-426a-9971-2005680c86c6/STRONG_REMINDER,SUCCESS,
1303,f1278d9f-8890-458d-b47f-47cc25cb8f28,p5-act6-evaluate-rule-1781351859821,2026-06-13T11:57:40.088366Z,clinical-decision-user,EXECUTE,rule_execution,rex-3f51bf14-e85c-426a-9971-2005680c86c6,执行规则 rule-95d0454a-fe4a-4e80-938a-45a3744bde98,SUCCESS,
1296,3f888e73-7d1b-441b-85d3-fddf7b21b9c7,p5-act6-override-physician-1781351543692,2026-06-13T11:52:23.925137Z,clinical-decision-user,FEEDBACK,rule_override_log,rov-6298abd7-6d7e-4f3d-aeef-99425059d290,记录规则越权 rex-20e57c68-4db6-4793-a683-ff62fb700733/STRONG_REMINDER,SUCCESS,
1294,c0811562-c938-4be6-9bb6-6425583e2d21,p5-act6-evaluate-rule-1781351538055,2026-06-13T11:52:18.312012Z,clinical-decision-user,EXECUTE,rule_execution,rex-20e57c68-4db6-4793-a683-ff62fb700733,执行规则 rule-95d0454a-fe4a-4e80-938a-45a3744bde98,SUCCESS,
1292,03c0dba2-1baa-43bd-b262-4fac53dfce7b,p5-act6-enter-patient-pathway-1781351532295,2026-06-13T11:52:12.635001Z,clinical-decision-user,CREATE,patient_pathway,pp-782f748d-9a75-445f-925f-378f72779b6d,患者入径 PATH.ED.DISPOSITION,SUCCESS,
1289,0a7ded32-07f2-43e0-b8d2-8b98ad195a31,p5-act6-evaluate-rule-1781351411200,2026-06-13T11:50:11.549502Z,clinical-decision-user,EXECUTE,rule_execution,rex-fa40d62b-62cb-4368-a8bb-5cb1aa6d0489,执行规则 rule-95d0454a-fe4a-4e80-938a-45a3744bde98,SUCCESS,
1283,bdfe0183-3dc6-4b2f-916c-59533e106e34,p5-act6-seed-snapshot-1781351210748,2026-06-13T11:46:51.608205Z,integration-operator,CREATE,context_snapshot,ctx-8eb83b9d-d6c5-4252-b1f8-2c9b65fc09a0,创建标准上下文 quality=VALID patient=P5-ACT6-CLINICAL-001,SUCCESS,
1277,a3326b96-b063-4717-a46d-995d483a344f,p5-act6-override-physician-1781350943894,2026-06-13T11:42:24.249436Z,clinical-decision-user,FEEDBACK,rule_override_log,rov-b8a87cfd-d4cc-4f8c-9ce0-30bcae4b4a02,记录规则越权 rex-7c13e3f9-419b-40d8-84cb-d1f58fdc8422/STRONG_REMINDER,SUCCESS,
1272,29206fb9-1a7b-4c0a-83dc-0da549cb6128,8895422c-706d-486a-b65a-e6a7ff866e53,2026-06-13T09:13:21.525887Z,organization-admin,PUBLISH,pathway_template,pt-69a3aabb-5157-4a7c-b293-ce027a5741c6,全量发布路径模板 PATH.ED.DISPOSITION,SUCCESS,
1269,b8db93eb-859d-4fc2-a732-ae0469319a7a,4cff29a4-f890-433e-aa56-f06b0f73156b,2026-06-13T09:12:29.497144Z,knowledge-governor,PUBLISH,pathway_template,pt-69a3aabb-5157-4a7c-b293-ce027a5741c6,发布路径模板 PATH.ED.DISPOSITION,SUCCESS,
1268,de3c3c2d-baac-4ff5-9aa5-d177074e9a91,649d0415-02cd-4d8b-9b9a-fb1d23f70287,2026-06-13T09:12:28.090286Z,knowledge-governor,EXECUTE,authorization,649d0415-02cd-4d8b-9b9a-fb1d23f70287,权限拒绝：当前用户无权执行该操作,FAILED,PERMISSION_DENIED
1267,0d5af294-7ad7-4ae8-bfae-f932e93c897c,a3cc7e15-efdf-438b-b65c-15eb7c54e1d7,2026-06-13T09:12:27.016099Z,knowledge-governor,EXECUTE,authorization,a3cc7e15-efdf-438b-b65c-15eb7c54e1d7,权限拒绝：当前用户无权执行该操作,FAILED,PERMISSION_DENIED
1265,329aef1f-e50e-4155-a2fb-d37b02ab0428,081ccace-d46e-4c6a-8cb4-ef85fdc613dd,2026-06-13T09:12:02.109440Z,knowledge-governor,EXECUTE,authorization,081ccace-d46e-4c6a-8cb4-ef85fdc613dd,权限拒绝：当前用户无权执行该操作,FAILED,PERMISSION_DENIED
1264,6904b917-61bb-4091-84eb-c967746ef85e,100b968e-2ced-49d8-b88f-eb433e543d02,2026-06-13T09:12:01.012896Z,knowledge-governor,EXECUTE,authorization,100b968e-2ced-49d8-b88f-eb433e543d02,权限拒绝：当前用户无权执行该操作,FAILED,PERMISSION_DENIED
1260,9bb3cb52-41ce-4fca-b67f-cceb1cd114f9,26e5445c-aa5e-426b-9747-f0e9a9c05dc6,2026-06-13T08:05:03.616645Z,knowledge-governor,EXECUTE,authorization,26e5445c-aa5e-426b-9747-f0e9a9c05dc6,权限拒绝：当前用户无权执行该操作,FAILED,PERMISSION_DENIED
1259,dc9a9ebb-bbde-4460-aab6-421fd7756ac5,248f350d-4156-4dcb-9379-04fc7415c849,2026-06-13T08:05:02.558113Z,knowledge-governor,EXECUTE,authorization,248f350d-4156-4dcb-9379-04fc7415c849,权限拒绝：当前用户无权执行该操作,FAILED,PERMISSION_DENIED
1256,944ecb61-d972-4d38-aeb8-540236a2e172,30963b8e-962f-4f1a-96e7-380804834096,2026-06-13T08:03:22.801014Z,knowledge-governor,EXECUTE,authorization,30963b8e-962f-4f1a-96e7-380804834096,权限拒绝：当前用户无权执行该操作,FAILED,PERMISSION_DENIED
